time,06-navstatus [adim],05-course [deg],04-speed [knots],03-mslhr [m],02-ellihr [m],01-lonhr [deg],00-lathr [deg]
2025-09-26 00:00:38.000,0.0,0.0,0.039,-54.3998,61.5928,-5.439977222,36.128767904
2025-09-26 00:00:38.500,0.0,0.0,0.039,-54.3998,61.6179,-5.439977171,36.128767986
2025-09-26 00:00:39.000,0.0,0.0,0.039,-54.3998,61.6429,-5.43997712,36.128768068
2025-09-26 00:00:39.500,0.0,0.0,0.039,-54.3998,61.668,-5.439977069,36.12876815
2025-09-26 00:00:40.000,0.0,0.0,0.039,-54.3998,61.693,-5.439977018,36.128768231
2025-09-26 00:00:40.500,0.0,0.0,0.039,-54.3998,61.718,-5.439976967,36.128768313
2025-09-26 00:00:41.000,0.0,0.0,0.039,-54.3998,61.7429,-5.439976915,36.128768394
2025-09-26 00:00:41.500,0.0,0.0,0.039,-54.3998,61.7678,-5.439976864,36.128768476
2025-09-26 00:00:42.000,0.0,0.0,0.039,-54.3998,61.7926,-5.439976813,36.128768557
2025-09-26 00:00:42.500,0.0,0.0,0.039,-54.3998,61.8174,-5.439976761,36.128768638
2025-09-26 00:00:43.000,0.0,0.0,0.039,-54.3998,61.8421,-5.43997671,36.128768719
2025-09-26 00:00:43.500,0.0,0.0,0.039,-54.3998,61.8668,-5.439976658,36.1287688
2025-09-26 00:00:44.000,0.0,0.0,0.039,-54.3998,61.8913,-5.439976606,36.128768881
2025-09-26 00:00:44.500,0.0,0.0,0.039,-54.3998,61.9158,-5.439976555,36.128768961
2025-09-26 00:00:45.000,0.0,0.0,0.039,-54.3998,61.9402,-5.439976503,36.128769041
2025-09-26 00:00:45.500,0.0,0.0,0.039,-54.3998,61.9645,-5.439976451,36.128769122
2025-09-26 00:00:46.000,0.0,0.0,0.039,-54.3998,61.9887,-5.439976399,36.128769201
2025-09-26 00:00:46.500,0.0,0.0,0.039,-54.3998,62.0128,-5.439976347,36.128769281
2025-09-26 00:00:47.000,0.0,0.0,0.039,-54.3998,62.0367,-5.439976295,36.128769361
2025-09-26 00:00:47.500,0.0,0.0,0.039,-54.3998,62.0605,-5.439976243,36.12876944
2025-09-26 00:00:48.000,0.0,0.0,0.039,-54.3998,62.0842,-5.43997619,36.128769519
2025-09-26 00:00:48.500,0.0,0.0,0.039,-54.3998,62.1077,-5.439976138,36.128769597
