time,06-navstatus [adim],04-speed [knots]
2025-08-24 15:21:00.000,1.0,8.162
2025-08-24 15:21:00.500,1.0,8.16
2025-08-24 15:21:01.000,1.0,8.158
2025-08-24 15:21:01.500,1.0,8.157
2025-08-24 15:21:02.000,1.0,8.155
2025-08-24 15:21:02.500,1.0,8.154
2025-08-24 15:21:03.000,1.0,8.153
2025-08-24 15:21:03.500,1.0,8.152
2025-08-24 15:21:04.000,1.0,8.151
2025-08-24 15:21:04.500,1.0,8.15
2025-08-24 15:21:05.000,1.0,8.15
2025-08-24 15:21:05.500,1.0,8.149
2025-08-24 15:21:06.000,1.0,8.149
2025-08-24 15:21:06.500,1.0,8.149
2025-08-24 15:21:07.000,1.0,8.149
2025-08-24 15:21:07.500,1.0,8.149
2025-08-24 15:21:08.000,1.0,8.15
2025-08-24 15:21:08.500,1.0,8.15
2025-08-24 15:21:09.000,1.0,8.151
2025-08-24 15:21:09.500,1.0,8.151
2025-08-24 15:21:10.000,1.0,8.152
2025-08-24 15:21:10.500,1.0,8.153
2025-08-24 15:21:11.000,1.0,8.155
2025-08-24 15:21:11.500,1.0,8.156
2025-08-24 15:21:12.000,1.0,8.157
2025-08-24 15:21:12.500,1.0,8.159
2025-08-24 15:21:13.000,1.0,8.16
2025-08-24 15:21:13.500,1.0,8.162
2025-08-24 15:21:14.000,1.0,8.164
2025-08-24 15:21:14.500,1.0,8.166
2025-08-24 15:21:15.000,1.0,8.168
2025-08-24 15:21:15.500,1.0,8.17
2025-08-24 15:21:16.000,1.0,8.172
2025-08-24 15:21:16.500,1.0,8.174
2025-08-24 15:21:17.000,1.0,8.176
2025-08-24 15:21:17.500,1.0,8.179
2025-08-24 15:21:18.000,1.0,8.181
2025-08-24 15:21:18.500,1.0,8.183
2025-08-24 15:21:19.000,1.0,8.186
2025-08-24 15:21:19.500,1.0,8.188
2025-08-24 15:21:20.000,1.0,8.19
2025-08-24 15:21:20.500,1.0,8.193
2025-08-24 15:21:21.000,1.0,8.195
2025-08-24 15:21:21.500,1.0,8.197
2025-08-24 15:21:22.000,1.0,8.199
2025-08-24 15:21:22.500,1.0,8.202
2025-08-24 15:21:23.000,1.0,8.204
2025-08-24 15:21:23.500,1.0,8.206
2025-08-24 15:21:24.000,1.0,8.208
2025-08-24 15:21:24.500,1.0,8.21
2025-08-24 15:21:25.000,1.0,8.212
2025-08-24 15:21:25.500,1.0,8.214
2025-08-24 15:21:26.000,1.0,8.215
2025-08-24 15:21:26.500,1.0,8.217
2025-08-24 15:21:27.000,1.0,8.218
2025-08-24 15:21:27.500,1.0,8.22
2025-08-24 15:21:28.000,1.0,8.221
2025-08-24 15:21:28.500,1.0,8.223
2025-08-24 15:21:29.000,1.0,8.224
2025-08-24 15:21:29.500,1.0,8.225
2025-08-24 15:21:30.000,1.0,8.226
2025-08-24 15:21:30.500,1.0,8.227
2025-08-24 15:21:31.000,1.0,8.227
2025-08-24 15:21:31.500,1.0,8.228
2025-08-24 15:21:32.000,1.0,8.229
2025-08-24 15:21:32.500,1.0,8.229
2025-08-24 15:21:33.000,1.0,8.229
2025-08-24 15:21:33.500,1.0,8.229
2025-08-24 15:21:34.000,1.0,8.23
2025-08-24 15:21:34.500,1.0,8.23
2025-08-24 15:21:35.000,1.0,8.229
2025-08-24 15:21:35.500,1.0,8.229
2025-08-24 15:21:36.000,1.0,8.229
2025-08-24 15:21:36.500,1.0,8.229
2025-08-24 15:21:37.000,1.0,8.228
2025-08-24 15:21:37.500,1.0,8.227
2025-08-24 15:21:38.000,1.0,8.227
2025-08-24 15:21:38.500,1.0,8.226
2025-08-24 15:21:39.000,1.0,8.225
2025-08-24 15:21:39.500,1.0,8.224
2025-08-24 15:21:40.000,1.0,8.223
2025-08-24 15:21:40.500,1.0,8.222
2025-08-24 15:21:41.000,1.0,8.221
2025-08-24 15:21:41.500,1.0,8.22
2025-08-24 15:21:42.000,1.0,8.219
2025-08-24 15:21:42.500,1.0,8.218
2025-08-24 15:21:43.000,1.0,8.216
2025-08-24 15:21:43.500,1.0,8.215
2025-08-24 15:21:44.000,1.0,8.213
2025-08-24 15:21:44.500,1.0,8.212
2025-08-24 15:21:45.000,1.0,8.21
2025-08-24 15:21:45.500,1.0,8.209
2025-08-24 15:21:46.000,1.0,8.207
2025-08-24 15:21:46.500,1.0,8.205
2025-08-24 15:21:47.000,1.0,8.204
2025-08-24 15:21:47.500,1.0,8.202
2025-08-24 15:21:48.000,1.0,8.201
2025-08-24 15:21:48.500,1.0,8.199
2025-08-24 15:21:49.000,1.0,8.197
2025-08-24 15:21:49.500,1.0,8.196
2025-08-24 15:21:50.000,1.0,8.194
2025-08-24 15:21:50.500,1.0,8.193
2025-08-24 15:21:51.000,1.0,8.191
2025-08-24 15:21:51.500,1.0,8.189
2025-08-24 15:21:52.000,1.0,8.188
2025-08-24 15:21:52.500,1.0,8.186
2025-08-24 15:21:53.000,1.0,8.185
2025-08-24 15:21:53.500,1.0,8.184
2025-08-24 15:21:54.000,1.0,8.182
2025-08-24 15:21:54.500,1.0,8.181
2025-08-24 15:21:55.000,1.0,8.18
2025-08-24 15:21:55.500,1.0,8.179
2025-08-24 15:21:56.000,1.0,8.178
2025-08-24 15:21:56.500,1.0,8.176
2025-08-24 15:21:57.000,1.0,8.175
2025-08-24 15:21:57.500,1.0,8.174
2025-08-24 15:21:58.000,1.0,8.174
2025-08-24 15:21:58.500,1.0,8.173
2025-08-24 15:21:59.000,1.0,8.172
2025-08-24 15:21:59.500,1.0,8.171
2025-08-24 15:22:00.000,1.0,8.17
2025-08-24 15:22:00.500,1.0,8.17
2025-08-24 15:22:01.000,1.0,8.169
2025-08-24 15:22:01.500,1.0,8.168
2025-08-24 15:22:02.000,1.0,8.168
2025-08-24 15:22:02.500,1.0,8.167
2025-08-24 15:22:03.000,1.0,8.167
2025-08-24 15:22:03.500,1.0,8.167
2025-08-24 15:22:04.000,1.0,8.166
2025-08-24 15:22:04.500,1.0,8.166
2025-08-24 15:22:05.000,1.0,8.166
2025-08-24 15:22:05.500,1.0,8.165
2025-08-24 15:22:06.000,1.0,8.165
2025-08-24 15:22:06.500,1.0,8.165
2025-08-24 15:22:07.000,1.0,8.165
2025-08-24 15:22:07.500,1.0,8.165
2025-08-24 15:22:08.000,1.0,8.164
2025-08-24 15:22:08.500,1.0,8.164
2025-08-24 15:22:09.000,1.0,8.164
2025-08-24 15:22:09.500,1.0,8.164
2025-08-24 15:22:10.000,1.0,8.164
2025-08-24 15:22:10.500,1.0,8.164
2025-08-24 15:22:11.000,1.0,8.164
2025-08-24 15:22:11.500,1.0,8.164
2025-08-24 15:22:12.000,1.0,8.164
2025-08-24 15:22:12.500,1.0,8.164
2025-08-24 15:22:13.000,1.0,8.164
2025-08-24 15:22:13.500,1.0,8.164
2025-08-24 15:22:14.000,1.0,8.165
2025-08-24 15:22:14.500,1.0,8.165
2025-08-24 15:22:15.000,1.0,8.165
2025-08-24 15:22:15.500,1.0,8.165
2025-08-24 15:22:16.000,1.0,8.165
2025-08-24 15:22:16.500,1.0,8.165
2025-08-24 15:22:17.000,1.0,8.165
2025-08-24 15:22:17.500,1.0,8.165
2025-08-24 15:22:18.000,1.0,8.165
2025-08-24 15:22:18.500,1.0,8.165
2025-08-24 15:22:19.000,1.0,8.165
2025-08-24 15:22:19.500,1.0,8.165
2025-08-24 15:22:20.000,1.0,8.165
2025-08-24 15:22:20.500,1.0,8.165
2025-08-24 15:22:21.000,1.0,8.165
2025-08-24 15:22:21.500,1.0,8.165
2025-08-24 15:22:22.000,1.0,8.165
2025-08-24 15:22:22.500,1.0,8.164
2025-08-24 15:22:23.000,1.0,8.164
2025-08-24 15:22:23.500,1.0,8.164
2025-08-24 15:22:24.000,1.0,8.164
2025-08-24 15:22:24.500,1.0,8.163
2025-08-24 15:22:25.000,1.0,8.163
2025-08-24 15:22:25.500,1.0,8.162
2025-08-24 15:22:26.000,1.0,8.162
2025-08-24 15:22:26.500,1.0,8.161
2025-08-24 15:22:27.000,1.0,8.16
2025-08-24 15:22:27.500,1.0,8.16
2025-08-24 15:22:28.000,1.0,8.159
2025-08-24 15:22:28.500,1.0,8.158
2025-08-24 15:22:29.000,1.0,8.157
2025-08-24 15:22:29.500,1.0,8.156
2025-08-24 15:22:30.000,1.0,8.155
2025-08-24 15:22:30.500,1.0,8.154
2025-08-24 15:22:31.000,1.0,8.153
2025-08-24 15:22:31.500,1.0,8.152
2025-08-24 15:22:32.000,1.0,8.15
2025-08-24 15:22:32.500,1.0,8.149
2025-08-24 15:22:33.000,1.0,8.148
2025-08-24 15:22:33.500,1.0,8.146
2025-08-24 15:22:34.000,1.0,8.145
2025-08-24 15:22:34.500,1.0,8.144
2025-08-24 15:22:35.000,1.0,8.142
2025-08-24 15:22:35.500,1.0,8.14
2025-08-24 15:22:36.000,1.0,8.139
2025-08-24 15:22:36.500,1.0,8.137
2025-08-24 15:22:37.000,1.0,8.135
2025-08-24 15:22:37.500,1.0,8.134
2025-08-24 15:22:38.000,1.0,8.132
2025-08-24 15:22:38.500,1.0,8.13
2025-08-24 15:22:39.000,1.0,8.128
2025-08-24 15:22:39.500,1.0,8.126
2025-08-24 15:22:40.000,1.0,8.124
2025-08-24 15:22:40.500,1.0,8.122
2025-08-24 15:22:41.000,1.0,8.12
2025-08-24 15:22:41.500,1.0,8.118
2025-08-24 15:22:42.000,1.0,8.116
2025-08-24 15:22:42.500,1.0,8.114
2025-08-24 15:22:43.000,1.0,8.112
2025-08-24 15:22:43.500,1.0,8.11
2025-08-24 15:22:44.000,1.0,8.109
2025-08-24 15:22:44.500,1.0,8.107
2025-08-24 15:22:45.000,1.0,8.105
2025-08-24 15:22:45.500,1.0,8.103
2025-08-24 15:22:46.000,1.0,8.101
2025-08-24 15:22:46.500,1.0,8.1
2025-08-24 15:22:47.000,1.0,8.098
2025-08-24 15:22:47.500,1.0,8.097
2025-08-24 15:22:48.000,1.0,8.095
2025-08-24 15:22:48.500,1.0,8.094
2025-08-24 15:22:49.000,1.0,8.093
2025-08-24 15:22:49.500,1.0,8.092
2025-08-24 15:22:50.000,1.0,8.092
2025-08-24 15:22:50.500,1.0,8.091
2025-08-24 15:22:51.000,1.0,8.091
2025-08-24 15:22:51.500,1.0,8.091
2025-08-24 15:22:52.000,1.0,8.091
2025-08-24 15:22:52.500,1.0,8.091
2025-08-24 15:22:53.000,1.0,8.092
2025-08-24 15:22:53.500,1.0,8.093
2025-08-24 15:22:54.000,1.0,8.094
2025-08-24 15:22:54.500,1.0,8.096
2025-08-24 15:22:55.000,1.0,8.098
2025-08-24 15:22:55.500,1.0,8.1
2025-08-24 15:22:56.000,1.0,8.103
2025-08-24 15:22:56.500,1.0,8.106
2025-08-24 15:22:57.000,1.0,8.109
2025-08-24 15:22:57.500,1.0,8.113
2025-08-24 15:22:58.000,1.0,8.117
2025-08-24 15:22:58.500,1.0,8.122
2025-08-24 15:22:59.000,1.0,8.127
2025-08-24 15:22:59.500,1.0,8.133
2025-08-24 15:23:00.000,1.0,8.139
2025-08-24 15:23:00.500,1.0,8.146
2025-08-24 15:23:01.000,1.0,8.153
2025-08-24 15:23:01.500,1.0,8.161
2025-08-24 15:23:02.000,1.0,8.17
2025-08-24 15:23:02.500,1.0,8.179
2025-08-24 15:23:03.000,1.0,8.188
2025-08-24 15:23:03.500,1.0,8.198
2025-08-24 15:23:04.000,1.0,8.209
2025-08-24 15:23:04.500,1.0,8.221
2025-08-24 15:23:05.000,1.0,8.233
2025-08-24 15:23:05.500,1.0,8.245
2025-08-24 15:23:06.000,1.0,8.258
2025-08-24 15:23:06.500,1.0,8.272
2025-08-24 15:23:07.000,1.0,8.287
2025-08-24 15:23:07.500,1.0,8.302
2025-08-24 15:23:08.000,1.0,8.318
2025-08-24 15:23:08.500,1.0,8.334
2025-08-24 15:23:09.000,1.0,8.352
2025-08-24 15:23:09.500,1.0,8.369
2025-08-24 15:23:10.000,1.0,8.388
2025-08-24 15:23:10.500,1.0,8.407
2025-08-24 15:23:11.000,1.0,8.426
2025-08-24 15:23:11.500,1.0,8.446
2025-08-24 15:23:12.000,1.0,8.467
2025-08-24 15:23:12.500,1.0,8.488
2025-08-24 15:23:13.000,1.0,8.51
2025-08-24 15:23:13.500,1.0,8.532
2025-08-24 15:23:14.000,1.0,8.555
2025-08-24 15:23:14.500,1.0,8.578
2025-08-24 15:23:15.000,1.0,8.601
2025-08-24 15:23:15.500,1.0,8.625
2025-08-24 15:23:16.000,1.0,8.649
2025-08-24 15:23:16.500,1.0,8.673
2025-08-24 15:23:17.000,1.0,8.698
2025-08-24 15:23:17.500,1.0,8.723
2025-08-24 15:23:18.000,1.0,8.747
2025-08-24 15:23:18.500,1.0,8.772
2025-08-24 15:23:19.000,1.0,8.797
2025-08-24 15:23:19.500,1.0,8.822
2025-08-24 15:23:20.000,1.0,8.846
2025-08-24 15:23:20.500,1.0,8.871
2025-08-24 15:23:21.000,1.0,8.895
2025-08-24 15:23:21.500,1.0,8.918
2025-08-24 15:23:22.000,1.0,8.942
2025-08-24 15:23:22.500,1.0,8.965
2025-08-24 15:23:23.000,1.0,8.988
2025-08-24 15:23:23.500,1.0,9.01
2025-08-24 15:23:24.000,1.0,9.031
2025-08-24 15:23:24.500,1.0,9.052
2025-08-24 15:23:25.000,1.0,9.073
2025-08-24 15:23:25.500,1.0,9.092
2025-08-24 15:23:26.000,1.0,9.111
2025-08-24 15:23:26.500,1.0,9.129
2025-08-24 15:23:27.000,1.0,9.147
2025-08-24 15:23:27.500,1.0,9.163
2025-08-24 15:23:28.000,1.0,9.179
2025-08-24 15:23:28.500,1.0,9.194
2025-08-24 15:23:29.000,1.0,9.208
2025-08-24 15:23:29.500,1.0,9.221
2025-08-24 15:23:30.000,1.0,9.233
2025-08-24 15:23:30.500,1.0,9.245
2025-08-24 15:23:31.000,1.0,9.256
2025-08-24 15:23:31.500,1.0,9.265
2025-08-24 15:23:32.000,1.0,9.274
2025-08-24 15:23:32.500,1.0,9.283
2025-08-24 15:23:33.000,1.0,9.29
2025-08-24 15:23:33.500,1.0,9.296
2025-08-24 15:23:34.000,1.0,9.302
2025-08-24 15:23:34.500,1.0,9.307
2025-08-24 15:23:35.000,1.0,9.312
2025-08-24 15:23:35.500,1.0,9.315
2025-08-24 15:23:36.000,1.0,9.318
2025-08-24 15:23:36.500,1.0,9.32
2025-08-24 15:23:37.000,1.0,9.322
2025-08-24 15:23:37.500,1.0,9.323
2025-08-24 15:23:38.000,1.0,9.323
2025-08-24 15:23:38.500,1.0,9.323
2025-08-24 15:23:39.000,1.0,9.323
2025-08-24 15:23:39.500,1.0,9.321
2025-08-24 15:23:40.000,1.0,9.32
2025-08-24 15:23:40.500,1.0,9.317
2025-08-24 15:23:41.000,1.0,9.315
2025-08-24 15:23:41.500,1.0,9.311
2025-08-24 15:23:42.000,1.0,9.308
2025-08-24 15:23:42.500,1.0,9.304
2025-08-24 15:23:43.000,1.0,9.3
2025-08-24 15:23:43.500,1.0,9.295
2025-08-24 15:23:44.000,1.0,9.29
2025-08-24 15:23:44.500,1.0,9.285
2025-08-24 15:23:45.000,1.0,9.279
2025-08-24 15:23:45.500,1.0,9.273
2025-08-24 15:23:46.000,1.0,9.267
2025-08-24 15:23:46.500,1.0,9.261
2025-08-24 15:23:47.000,1.0,9.255
2025-08-24 15:23:47.500,1.0,9.248
2025-08-24 15:23:48.000,1.0,9.241
2025-08-24 15:23:48.500,1.0,9.234
2025-08-24 15:23:49.000,1.0,9.227
2025-08-24 15:23:49.500,1.0,9.219
2025-08-24 15:23:50.000,1.0,9.212
2025-08-24 15:23:50.500,1.0,9.204
2025-08-24 15:23:51.000,1.0,9.197
2025-08-24 15:23:51.500,1.0,9.189
2025-08-24 15:23:52.000,1.0,9.181
2025-08-24 15:23:52.500,1.0,9.173
2025-08-24 15:23:53.000,1.0,9.165
2025-08-24 15:23:53.500,1.0,9.157
2025-08-24 15:23:54.000,1.0,9.149
2025-08-24 15:23:54.500,1.0,9.141
2025-08-24 15:23:55.000,1.0,9.132
2025-08-24 15:23:55.500,1.0,9.124
2025-08-24 15:23:56.000,1.0,9.116
2025-08-24 15:23:56.500,1.0,9.107
2025-08-24 15:23:57.000,1.0,9.099
2025-08-24 15:23:57.500,1.0,9.09
2025-08-24 15:23:58.000,1.0,9.082
2025-08-24 15:23:58.500,1.0,9.073
2025-08-24 15:23:59.000,1.0,9.065
2025-08-24 15:23:59.500,1.0,9.056
2025-08-24 15:24:00.000,1.0,9.047
2025-08-24 15:24:00.500,1.0,9.038
2025-08-24 15:24:01.000,1.0,9.029
2025-08-24 15:24:01.500,1.0,9.02
2025-08-24 15:24:02.000,1.0,9.011
2025-08-24 15:24:02.500,1.0,9.002
2025-08-24 15:24:03.000,1.0,8.992
2025-08-24 15:24:03.500,1.0,8.983
2025-08-24 15:24:04.000,1.0,8.973
2025-08-24 15:24:04.500,1.0,8.964
2025-08-24 15:24:05.000,1.0,8.954
2025-08-24 15:24:05.500,1.0,8.944
2025-08-24 15:24:06.000,1.0,8.934
2025-08-24 15:24:06.500,1.0,8.924
2025-08-24 15:24:07.000,1.0,8.914
2025-08-24 15:24:07.500,1.0,8.903
2025-08-24 15:24:08.000,1.0,8.893
2025-08-24 15:24:08.500,1.0,8.882
2025-08-24 15:24:09.000,1.0,8.871
2025-08-24 15:24:09.500,1.0,8.86
2025-08-24 15:24:10.000,1.0,8.849
2025-08-24 15:24:10.500,1.0,8.838
2025-08-24 15:24:11.000,1.0,8.826
2025-08-24 15:24:11.500,1.0,8.815
2025-08-24 15:24:12.000,1.0,8.803
2025-08-24 15:24:12.500,1.0,8.791
2025-08-24 15:24:13.000,1.0,8.779
2025-08-24 15:24:13.500,1.0,8.767
2025-08-24 15:24:14.000,1.0,8.755
2025-08-24 15:24:14.500,1.0,8.743
2025-08-24 15:24:15.000,1.0,8.73
2025-08-24 15:24:15.500,1.0,8.718
2025-08-24 15:24:16.000,1.0,8.705
2025-08-24 15:24:16.500,1.0,8.693
2025-08-24 15:24:17.000,1.0,8.68
2025-08-24 15:24:17.500,1.0,8.667
2025-08-24 15:24:18.000,1.0,8.654
2025-08-24 15:24:18.500,1.0,8.641
